Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-29
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Beef Products; Cereal Grains and Pasta; Dairy and Egg Products; Finfish and Shellfish Products; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Pork Products; Poultry Products; Vegetables and Vegetable Products"
Food Subset:All Foods
Ordered by:Food Name
Measured by:100 g
Report Run at: 12-08-2016T20:57
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
11733,"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",1.49,6.45,0.17,,
11732,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",1.49,6.45,0.17,,
11722,"Beans, snap, yellow, raw",1.82,7.13,0.12,,
16051,"Beans, white, mature seeds, canned",7.26,21.2,0.29,,
16350,"Beans, white, mature seeds, cooked, boiled, with salt",9.73,25.09,0.35,,
16050,"Beans, white, mature seeds, cooked, boiled, without salt",9.73,25.09,0.35,,
16049,"Beans, white, mature seeds, raw",23.36,60.27,0.85,,
16348,"Beans, yellow, mature seeds, cooked, boiled, with salt",9.16,25.28,1.08,,
16048,"Beans, yellow, mature seeds, cooked, boiled, without salt",9.16,25.28,1.08,,
16047,"Beans, yellow, mature seeds, raw",22.0,60.7,2.6,,
23491,"Beef composite, separable lean only, trimmed to 1/8"" fat, choice, cooked",28.73,0.0,9.16,,
23296,"Beef, Australian, imported, grass-fed,  external fat, raw",11.32,0.39,51.36,,
23293,"Beef, Australian, imported, grass-fed, ground, 85% lean / 15% fat, raw",17.72,0.0,18.12,,
23302,"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean and fat, raw",20.53,0.01,7.63,,
23294,"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean only, raw",20.85,0.0,6.11,,
23305,"Beef, Australian, imported, grass-fed, loin, top loin steak/roast, boneless, separable lean and fat, raw",19.9,0.11,13.17,,
23303,"Beef, Australian, imported, grass-fed, loin, top loin steak/roast, boneless, separable lean only, raw",21.79,0.0,4.87,,
23315,"Beef, Australian, imported, grass-fed, loin, top sirloin cap-off steak/roast, boneless, separable lean and fat, raw",21.77,0.01,4.45,,
23306,"Beef, Australian, imported, grass-fed, loin, top sirloin cap-off steak/roast, boneless, separable lean only, raw",21.9,0.0,3.87,,
23316,"Beef, Australian, imported, grass-fed, rib, ribeye steak/roast lip-on, boneless, separable lean and fat, raw",19.8,0.11,15.21,,
23307,"Beef, Australian, imported, grass-fed, rib, ribeye steak/roast lip-on, boneless, separable lean only, raw",21.47,0.0,8.2,,
23317,"Beef, Australian, imported, grass-fed, round, bottom round steak/roast, boneless, separable lean and fat, raw",21.13,0.01,6.16,,
23308,"Beef, Australian, imported, grass-fed, round, bottom round steak/roast, boneless, separable lean only, raw",21.4,0.0,4.93,,
23318,"Beef, Australian, imported, grass-fed, round, top round cap-off steak/roast, boneless, separable lean and fat, raw",22.24,0.0,4.4,,
23309,"Beef, Australian, imported, grass-fed, round, top round cap-off steak/roast, boneless, separable lean only, raw",22.41,0.0,4.43,,
23297,"Beef, Australian, imported, grass-fed, seam fat, raw",9.58,1.06,57.73,,
23298,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 4/5, raw",6.54,0.0,63.27,,
23300,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 9, raw",5.54,0.97,68.07,,
23304,"Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean and fat, Aust. marble score 4/5, raw",19.71,0.0,14.09,,
23323,"Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean and fat, Aust. marble score 9, raw",18.5,0.58,19.11,,
23295,"Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw",20.19,0.0,12.3,,
23310,"Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean only, Aust. marble score 9, raw",18.87,0.57,17.73,,
23319,"Beef, Australian, imported, Wagyu, loin, top loin steak/roast, boneless, separable lean and fat, Aust. marble score 4/5, raw",17.67,0.17,24.2,,
23311,"Beef, Australian, imported, Wagyu, loin, top loin steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw",20.15,0.2,15.69,,
23312,"Beef, Australian, imported, Wagyu, loin, top loin steak/roast, boneless, separable lean only, Aust. marble score 9, raw",16.92,0.13,29.15,,
23320,"Beef, Australian, imported, Wagyu, loin, top loin steak/roast, separable lean and fat, Aust. marble score 9, raw",14.58,0.22,36.98,,
23321,"Beef, Australian, imported, Wagyu, rib, small end rib steak/roast, boneless, separable lean and fat, Aust. marble score 4/5, raw",17.07,0.0,27.64,,
23322,"Beef, Australian, imported, Wagyu, rib, small end rib steak/roast, boneless, separable lean and fat, Aust. marble score 9, raw",14.54,0.42,38.3,,
23313,"Beef, Australian, imported, Wagyu, rib, small end rib steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw",20.35,0.0,16.93,,
23314,"Beef, Australian, imported, Wagyu, rib, small end rib steak/roast, boneless, separable lean only, Aust. marble score 9, raw",17.61,0.46,28.61,,
23299,"Beef, Australian, imported, Wagyu, seam fat, Aust. marble score 4/5, raw",6.0,0.0,63.3,,
23301,"Beef, Australian, imported, Wagyu, seam fat, Aust. marble score 9, raw",5.16,0.0,67.33,,
13953,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",26.05,0.0,11.07,,
13954,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",20.64,0.0,8.55,,
13955,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",25.66,0.0,12.36,,
13956,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, choice, raw",20.64,0.0,9.51,,
13957,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",26.44,0.0,9.78,,
13958,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, raw",20.64,0.0,7.68,,
23646,"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, raw",21.26,0.0,5.63,,
23647,"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",26.34,0.0,9.73,,
23648,"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, choice, raw",21.17,0.0,7.06,,
23649,"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",27.17,0.0,6.95,,
23650,"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, raw",21.34,0.0,4.21,,
13595,"Beef, brisket, flat half, boneless separable lean only, trimmed to 0"" fat, all grades, raw",21.47,0.0,5.11,,
13904,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",20.32,0.0,9.29,,
13975,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",20.15,0.0,9.86,,
13983,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",20.57,0.0,8.45,,
13596,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, choice, raw",21.28,0.0,5.75,,
13597,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",21.74,0.0,4.14,,
13369,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",32.9,0.0,8.01,,
13165,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",32.21,0.0,9.24,,
13950,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",33.59,0.0,6.77,,
13806,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",28.82,0.0,18.42,,
13805,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",17.94,0.0,22.18,,
23660,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",28.66,0.0,19.47,,
23658,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw",18.12,0.12,22.15,,
13055,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",28.97,0.0,17.37,,
23659,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, select, raw",17.77,0.0,22.21,,
